record_id,field,raw_value,problem,action_taken
R022,renews_on,03/08/2026,renews_on '03/08/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R023,registered_on,02/09/2025,registered_on '02/09/2025' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R023,renews_on,02/09/2026,renews_on '02/09/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R026,billing_cycle,,billing_cycle is blank,dropped row; cycle unrecoverable and required for renewal math
R026,registered_on,05/01/2026,registered_on '05/01/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R026,renews_on,05/01/2027,renews_on '05/01/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R027,registered_on,09/02/2026,registered_on '09/02/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R027,renews_on,09/02/2027,renews_on '09/02/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R029,amount,-800,no currency marker found; assumed PKR,parsed with assumption noted
R030,registered_on,01/01/2026,registered_on '01/01/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R030,renews_on,01/02/2026,renews_on '01/02/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R031,contact_email,not-an-email,does not look like a valid email,flagged; kept as-is
R032,customer_id,,customer_id is blank,flagged; kept record (not enough grounds to drop)
R032,registered_on,02/06/2026,registered_on '02/06/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R032,renews_on,02/06/2027,renews_on '02/06/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R033,domain,  VPS Hosting  ,domain '  VPS Hosting  ' does not look like a valid domain after cleanup ('vpshosting'),dropped row; domain unrecoverable
R033,registered_on,11/07/2026,registered_on '11/07/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R033,renews_on,11/07/2027,renews_on '11/07/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R034,registered_on,32/13/2026,registered_on '32/13/2026' invalid under both DD/MM and MM/DD readings (out-of-range day/month),dropped row; date unrecoverable
R034,renews_on,32/13/2027,renews_on '32/13/2027' invalid under both DD/MM and MM/DD readings (out-of-range day/month),dropped row; date unrecoverable
R009,amount,4000.0,duplicate of R010 (same customer/domain/service) with conflicting amount (4000.0 vs 4200.0),dropped as duplicate; kept R010 (higher amount assumed to be the corrected value)
R005,amount,45.0,billed in USD (45.0 USD); converted to PKR at a flat 278.0 rate for reporting consistency,"converted to 12510.0 PKR (flag: rate is illustrative, not a live FX rate)"
